23, 1957, 06, 10, "01", "07", "08", "32", "35", "47", nA, "010708323547", Montag
24, 1957, 06, 16, "14", "21", "30", "34", "38", "44", nA, "142130343844", Sonntag
25, 1957, 06, 23, "04", "08", "10", "12", "19", "25", nA, "040810121925", Sonntag
26, 1957, 06, 30, "15", "23", "31", "36", "37", "46", nA, "152331363746", Sonntag
27, 1957, 07, 07, "05", "06", "11", "14", "22", "26", nA, "050611142226", Sonntag
28, 1957, 07, 14, "28", "30", "34", "40", "41", "44", nA, "283034404144", Sonntag
29, 1957, 07, 21, "01", "02", "03", "23", "42", "44", nA, "010203234244", Sonntag
30, 1957, 07, 28, "01", "09", "20", "25", "27", "34", nA, "010920252734", Sonntag
31, 1957, 08, 04, "06", "08", "17", "42", "43", "48", nA, "060817424348", Sonntag
32, 1957, 08, 11, "13", "26", "29", "33", "36", "39", nA, "132629333639", Sonntag
33, 1957, 08, 18, "03", "08", "14", "40", "41", "48", nA, "030814404148", Sonntag
34, 1957, 08, 25, "24", "30", "31", "36", "38", "42", nA, "243031363842", Sonntag
35, 1957, 09, 01, "02", "04", "07", "27", "40", "47", nA, "020407274047", Sonntag
36, 1957, 09, 08, "12", "20", "21", "27", "38", "40", nA, "122021273840", Sonntag
37, 1957, 09, 15, "12", "19", "24", "28", "34", "37", nA, "121924283437", Sonntag
38, 1957, 09, 22, "07", "09", "10", "25", "33", "35", nA, "070910253335", Sonntag
39, 1957, 09, 29, "13", "20", "21", "22", "26", "42", nA, "132021222642", Sonntag
40, 1957, 10, 06, "06", "09", "11", "25", "26", "31", nA, "060911252631", Sonntag
41, 1957, 10, 13, "01", "14", "29", "30", "41", "49", nA, "011429304149", Sonntag
42, 1957, 10, 20, "02", "24", "27", "35", "36", "42", nA, "022427353642", Sonntag
43, 1957, 10, 27, "02", "04", "09", "18", "22", "23", nA, "020409182223", Sonntag
44, 1957, 11, 03, "03", "11", "26", "45", "46", "49", nA, "031126454649", Sonntag
45, 1957, 11, 10, "16", "20", "24", "30", "45", "46", nA, "162024304546", Sonntag
46, 1957, 11, 17, "08", "20", "22", "24", "34", "49", nA, "082022243449", Sonntag
47, 1957, 11, 24, "01", "03", "14", "23", "25", "26", nA, "010314232526", Sonntag
48, 1957, 12, 01, "09", "11", "26", "27", "36", "46", nA, "091126273646", Sonntag
49, 1957, 12, 08, "03", "26", "32", "43", "45", "47", nA, "032632434547", Sonntag
50, 1957, 12, 15, "07", "11", "18", "22", "27", "39", nA, "071118222739", Sonntag
51, 1957, 12, 22, "04", "07", "22", "23", "28", "33", nA, "040722232833", Sonntag
52, 1957, 12, 29, "14", "34", "36", "45", "46", "47", nA, "143436454647", Sonntag
1, 1958, 01, 05, "06", "10", "15", "21", "36", "44", nA, "061015213644", Sonntag
2, 1958, 01, 12, "09", "19", "22", "23", "36", "37", nA, "091922233637", Sonntag
3, 1958, 01, 19, "03", "12", "14", "30", "32", "34", nA, "031214303234", Sonntag
4, 1958, 01, 26, "04", "06", "07", "23", "27", "41", nA, "040607232741", Sonntag
5, 1958, 02, 02, "04", "34", "38", "39", "46", "48", nA, "043438394648", Sonntag
6, 1958, 02, 09, "25", "30", "37", "40", "43", "45", nA, "253037404345", Sonntag
7, 1958, 02, 16, "08", "15", "21", "36", "37", "45", nA, "081521363745", Sonntag
8, 1958, 02, 23, "02", "03", "12", "17", "19", "26", nA, "020312171926", Sonntag
9, 1958, 03, 02, "09", "11", "21", "24", "27", "48", nA, "091121242748", Sonntag
